"Overig";52.372642;4.876572
"Platanus";52.372651;4.870431
"Ulmus";52.372663;4.88315
"Overig";52.372683;4.876664
"Overig";52.372715;4.876596
"Ulmus";52.37273;4.873292
"Ulmus";52.372738;4.878355
"Ulmus";52.372747;4.883156
"Robinia";52.372781;4.869664
"Ulmus";52.372791;4.870527
"Ulmus";52.372791;4.878582
"Ulmus";52.3728;4.876624
"Ulmus";52.37283;4.873411
"Platanus";52.37286;4.874634
"Ulmus";52.372879;4.876653
"Ulmus";52.37288;4.878949
"Ulmus";52.372882;4.883167
"Robinia";52.372901;4.869735
"Ulmus";52.372907;4.873608
"Ulmus";52.372934;4.870632
"Ulmus";52.372945;4.873791
"Overig";52.372953;4.876675
"Ulmus";52.372963;4.87928
"Ulmus";52.372982;4.873972
"Overig";52.372989;4.871776
"Ulmus";52.372991;4.883185
"Platanus";52.373;4.874825
"Ulmus";52.373004;4.87409
"Robinia";52.373026;4.869848
"Overig";52.373034;4.876705
"Ulmus";52.373073;4.87969
"Overig";52.373102;4.871862
"Ulmus";52.373102;4.883189
"Robinia";52.37314;4.86993
"Platanus";52.373147;4.874982
"Ulmus";52.373177;4.880118
"Ulmus";52.373233;4.870835
"Overig";52.373234;4.87195
"Ulmus";52.37324;4.880365
"Ulmus";52.373243;4.883202
"Overig";52.373276;4.870053
"Ulmus";52.373315;4.880676
"Overig";52.373358;4.872032
"Ulmus";52.373351;4.883216
"Ulmus";52.373374;4.870942
"Ulmus";52.373398;4.881008
"Ulmus";52.373453;4.883222
"Overig";52.373484;4.872116
"Ulmus";52.373484;4.881352
"Ulmus";52.373518;4.871043
"Platanus";52.373525;4.875187
"Overig";52.373534;4.870247
"Ulmus";52.373548;4.88323
"Ulmus";52.373567;4.88168
"Overig";52.37361;4.872198
"Platanus";52.373645;4.875195
"Ulmus";52.373645;4.883239
"Ulmus";52.37365;4.882011
"Ulmus";52.373664;4.871146
"Platanus";52.373672;4.867094
"Platanus";52.373684;4.867209
"Platanus";52.373697;4.867363
"Robinia";52.373703;4.870376
"Platanus";52.373707;4.867462
"Ulmus";52.373725;4.882319
"Platanus";52.373753;4.867192
"Overig";52.373754;4.867071
"Ulmus";52.37374;4.883245
"Platanus";52.37377;4.867344
"Platanus";52.373773;4.867451
"Platanus";52.373771;4.875212
"Ulmus";52.373775;4.882546
"Overig";52.37381;4.872331
"Ulmus";52.373812;4.877171
"Platanus";52.37382;4.871238
"Ulmus";52.373809;4.883247
"Overig";52.373846;4.871479
"Ulmus";52.373852;4.877336
"Quercus";52.373856;4.87647
"Quercus";52.373867;4.87652
"Overig";52.373878;4.876571
"Overig";52.373887;4.880342
"Ulmus";52.373896;4.877525
"Overig";52.373894;4.880377
"Overig";52.373907;4.871218
"Overig";52.37391;4.871517
"Overig";52.373933;4.866543
"Overig";52.373947;4.866661
"Ulmus";52.373945;4.877742
"Ulmus";52.373962;4.8772
"Overig";52.37397;4.871258
"Overig";52.373981;4.866953
"Overig";52.373977;4.872439
"Robinia";52.373989;4.870594
"Ulmus";52.373987;4.877934
"Overig";52.374002;4.870803
"Overig";52.374015;4.867772
"Overig";52.374038;4.866721
"Overig";52.374038;4.867417
"Ulmus";52.374032;4.878124
"Platanus";52.374069;4.867019
"Platanus";52.374067;4.871433
"Overig";52.374068;4.870842
"Ulmus";52.374066;4.877058
"Platanus";52.37408;4.867113
"Ulmus";52.374073;4.87831
"Overig";52.374086;4.87251
"Platanus";52.374094;4.867261
"Platanus";52.374094;4.867343
"Robinia";52.374096;4.881251
"Platanus";52.374115;4.867
"Overig";52.374128;4.867665
"Ulmus";52.374131;4.878568
"Robinia";52.374139;4.870704
"Ulmus";52.374183;4.871517
"Ulmus";52.374182;4.877094
"Ulmus";52.374192;4.878824
"Ulmus";52.374203;4.883431
"Ulmus";52.374233;4.879015
"Onbekend";52.374253;4.866488
"Platanus";52.374266;4.861081
"Overig";52.374261;4.866384
"Ulmus";52.37425;4.883308
"Ulmus";52.374251;4.883502
"Betula";52.374265;4.876627
"Ulmus";52.374265;4.879158
"Ulmus";52.374283;4.877129
"Platanus";52.374306;4.861417
"Ulmus";52.374313;4.871608
"Robinia";52.374319;4.87084
"Platanus";52.374332;4.86168
"Overig";52.37433;4.866733
"Ulmus";52.374334;4.879464
"Platanus";52.374349;4.875247
"Overig";52.374373;4.866443
"Ulmus";52.374384;4.877191
"Ulmus";52.374386;4.87968
"Overig";52.3744;4.867322
"Overig";52.374401;4.872779
"Overig";52.374421;4.867544
"Platanus";52.374424;4.866742
"Platanus";52.374437;4.866852
"Ulmus";52.374435;4.879898
"Platanus";52.374451;4.866972
"Platanus";52.374455;4.871692
"Platanus";52.374462;4.867172
"Robinia";52.374459;4.870944
"Platanus";52.374467;4.867274
"Ulmus";52.374463;4.883329
"Overig";52.374493;4.867469
"Ulmus";52.374485;4.877255
"Ulmus";52.374485;4.880129
"Overig";52.374511;4.86764
"Overig";52.374525;4.865932
"Platanus";52.374519;4.875334
"Ulmus";52.37454;4.880362
"Ulmus";52.374569;4.871787
"Overig";52.374579;4.866138
"Ulmus";52.37458;4.88055
"Overig";52.374595;4.866357
"Ulmus";52.37459;4.877322
"Platanus";52.374617;4.875338
"Ulmus";52.374612;4.88069
"Ulmus";52.37462;4.883338
"Ulmus";52.374639;4.88081
"Overig";52.37468;4.866314
"Aesculus";52.374679;4.871072
"Platanus";52.374676;4.875428
"Platanus";52.374682;4.871868
"Platanus";52.374698;4.866545
"Ulmus";52.374688;4.881032
"Platanus";52.374694;4.877153
"Platanus";52.37472;4.866763
"Platanus";52.374744;4.85983
"Ulmus";52.374729;4.877408
"Platanus";52.374764;4.86722
"Ulmus";52.374752;4.881302
"Platanus";52.374762;4.875412
"Overig";52.374775;4.873115
"Platanus";52.374781;4.8674
"Platanus";52.37479;4.860204
"Aesculus";52.374788;4.871153
"Platanus";52.374821;4.860389
"Platanus";52.374822;4.866489
"Ulmus";52.374824;4.877466
"Platanus";52.374827;4.877244
"Overig";52.37484;4.873054
"Ulmus";52.374841;4.881696
"Ulmus";52.374856;4.883503
"Platanus";52.374894;4.86057
"Ulmus";52.374878;4.88185
"Aesculus";52.374899;4.871231
"Platanus";52.374915;4.860745
"Platanus";52.374912;4.867485
"Platanus";52.374913;4.875506
"Platanus";52.374933;4.859973
"Platanus";52.374935;4.860918
